Wall time,Step,Value
1731225010.1027064,1125,0.7697131633758545
1731225010.6181583,1150,0.8763154149055481
1731225012.7041,1250,1.2881633043289185
1731225013.2275028,1275,1.3673138618469238
1731225014.294602,1325,1.6220343112945557
1731225014.8031633,1350,1.703161597251892
1731225015.332114,1375,1.78069007396698
1731225016.4159727,1425,2.0526390075683594
1731225016.9616597,1450,2.091710090637207
1731225017.4830053,1475,2.309378147125244
1731225018.0085087,1500,2.505455493927002
1731225020.117281,1600,3.0617785453796387
1731225024.8677304,1825,4.903632164001465
1731225025.376313,1850,5.105080604553223
1731225026.4486454,1900,5.609906196594238
1731225028.023854,1975,6.410613059997559
1731225028.5475461,2000,6.548176288604736
1731225029.6089675,2050,7.278130054473877
1731225030.666939,2100,7.62161111831665
1731225031.1944818,2125,8.087545394897461
1731225032.2520041,2175,9.448705673217773
1731225033.3578568,2225,9.913175582885742
1731225033.881829,2250,10.73280143737793
1731225035.45272,2325,11.842653274536133
1731225035.9735918,2350,11.68729305267334
1731225036.508257,2375,12.66631031036377
1731225037.0509217,2400,13.364919662475586
1731225037.5575433,2425,13.652576446533203
1731225039.1464772,2500,15.097616195678711
1731225039.6748562,2525,16.098514556884766
1731225040.8013022,2575,17.79891586303711
1731225041.8618934,2625,18.462787628173828
1731225042.41084,2650,19.511192321777344
1731225042.9430046,2675,19.993879318237305
1731225043.461694,2700,20.836830139160156
1731225045.0673,2775,23.475740432739258
1731225045.616645,2800,23.013931274414062
1731225046.1518583,2825,24.6710205078125
1731225046.6930025,2850,25.4945068359375
1731225047.7506196,2900,27.44919776916504
1731225049.325381,2975,30.214740753173828
1731225051.9697602,3100,34.870330810546875
1731225052.4795463,3125,37.10923385620117
1731225053.0335364,3150,37.15576171875
1731225053.5625155,3175,40.124237060546875
1731225054.0973306,3200,40.4300651550293
1731225054.6377885,3225,41.99478530883789
1731225057.317212,3350,48.46669387817383
1731225061.5746841,3550,57.18740463256836
1731225063.1536512,3625,60.95856475830078
1731225063.6828184,3650,62.152496337890625
1731225067.4469008,3825,70.78071594238281
1731225069.0328507,3900,76.25361633300781
1731225070.0923982,3950,79.96726989746094
1731225070.6346235,3975,76.64599609375
1731225071.1637516,4000,80.130615234375
1731225073.2980857,4100,87.16508483886719
1731225073.8276975,4125,84.98207092285156
1731225074.3526373,4150,88.4673843383789
1731225075.9369874,4225,92.58527374267578
1731225076.4683242,4250,91.09026336669922
1731225078.0703044,4325,95.51731872558594
1731225080.2533498,4425,97.78251647949219
1731225081.3182473,4475,105.95765686035156
1731225082.3989217,4525,108.11702728271484
1731225082.9480054,4550,102.78500366210938
1731225083.4788358,4575,104.39833068847656
1731225084.014975,4600,100.56755065917969
1731225086.116363,4700,112.28804779052734
1731225087.1912913,4750,110.71040344238281
1731225088.7467396,4825,107.24652099609375
1731225089.275019,4850,107.7098159790039
1731225089.7987876,4875,114.42691802978516
1731225090.84167,4925,115.36449432373047
1731225091.3804176,4950,112.4612045288086
1731225091.8857374,4975,115.26302337646484
1731225093.4878542,5050,110.25071716308594
1731225094.5259159,5100,113.16896057128906
1731225095.0812511,5125,115.08484649658203
1731225096.1481764,5175,116.01264190673828
1731225096.7018514,5200,116.49114990234375
1731225098.2935984,5275,117.45661163330078
1731225100.9646685,5400,116.70370483398438
1731225101.4830492,5425,117.2503662109375
1731225101.990978,5450,119.38374328613281
1731225103.0592732,5500,118.14177703857422
1731225103.609503,5525,116.31700897216797
1731225104.6751397,5575,117.58519744873047
1731225105.754317,5625,122.50212097167969
1731225106.3066065,5650,121.207275390625
1731225106.8689804,5675,117.25990295410156
1731225107.3917835,5700,119.00674438476562
1731225108.467242,5750,120.34746551513672
1731225109.0037131,5775,119.34675598144531
1731225112.6968076,5950,124.80387878417969
1731225114.8249943,6050,120.24501037597656
1731225116.9382017,6150,119.38803100585938
1731225117.468332,6175,124.72725677490234
1731225117.9916477,6200,121.81425476074219
1731225120.1704462,6300,118.70640563964844
1731225121.8974326,6375,124.76686096191406
1731225123.4815936,6450,123.9569320678711
1731225124.0330093,6475,126.17201232910156
1731225125.6154537,6550,124.62399291992188
1731225126.1636975,6575,125.33513641357422
1731225127.239541,6625,125.94617462158203
1731225127.7709486,6650,125.37905883789062
1731225128.3093414,6675,124.7528076171875
1731225129.4008274,6725,122.94857788085938
1731225129.9375384,6750,127.92439270019531
1731225130.4494612,6775,128.20730590820312
1731225130.982299,6800,125.25299072265625
1731225131.5111182,6825,124.15947723388672
1731225132.0394697,6850,126.50953674316406
1731225133.6296117,6925,126.095458984375
1731225135.3868954,7000,125.73045349121094
1731225137.4665034,7100,128.5287322998047
1731225137.9974453,7125,125.75755310058594
1731225139.0768652,7175,126.60165405273438
1731225140.1715863,7225,126.8388671875
1731225140.7056868,7250,126.71662902832031
1731225143.3353171,7375,125.2786636352539
1731225144.8912804,7450,130.1748046875
1731225145.434997,7475,128.3529052734375
1731225145.9635904,7500,129.70205688476562
1731225146.4899914,7525,128.708984375
1731225147.5762827,7575,131.1840362548828
1731225149.7025173,7675,130.66232299804688
1731225150.789425,7725,128.5016326904297
1731225151.8521974,7775,131.6957244873047
1731225152.905888,7825,129.78152465820312
1731225155.5655174,7950,129.38653564453125
1731225156.6345437,8000,131.04090881347656
1731225158.746513,8100,131.8518524169922
1731225161.4063826,8225,132.21078491210938
1731225162.4539897,8275,133.92294311523438
1731225162.991014,8300,129.74002075195312
1731225164.6062226,8375,128.4529266357422
1731225165.6443534,8425,131.74041748046875
1731225166.2178078,8450,133.17263793945312
1731225166.7536817,8475,133.56948852539062
1731225167.8403287,8525,132.86865234375
1731225168.361068,8550,131.70794677734375
1731225168.9034557,8575,132.20187377929688
1731225171.025941,8675,133.0334930419922
1731225171.5686922,8700,132.96849060058594
1731225172.7009528,8750,133.25631713867188
1731225174.3107536,8825,132.5050811767578
1731225176.478542,8925,135.1467742919922
1731225177.0364714,8950,133.95962524414062
1731225177.562366,8975,135.22439575195312
1731225178.0956302,9000,135.82418823242188
1731225179.1432662,9050,136.54995727539062
1731225180.7519946,9125,135.71160888671875
1731225181.282961,9150,135.57415771484375
1731225181.8169274,9175,135.74632263183594
1731225183.4262488,9250,135.3428955078125
1731225183.9610562,9275,135.58023071289062
1731225185.018207,9325,133.20431518554688
1731225188.2849977,9475,135.79037475585938
1731225189.4678004,9525,136.53997802734375
1731225191.4832249,9600,138.7052001953125
1731225192.0756104,9625,136.31698608398438
1731225193.408393,9675,136.48497009277344
1731225194.0001435,9700,136.21826171875
1731225196.7414017,9825,135.8330078125
1731225197.2890499,9850,138.1572265625
1731225198.3788433,9900,137.76539611816406
1731225199.4358022,9950,136.6612548828125
1731225199.976057,9975,137.93280029296875
1731225200.5077188,10000,136.3197479248047
1731225202.0747812,10075,137.56967163085938
1731225202.6059442,10100,138.12860107421875
1731225204.3230872,10175,135.7925262451172
1731225204.8439965,10200,138.4844970703125
1731225205.8984628,10250,138.81195068359375
1731225206.4234395,10275,137.17913818359375
1731225207.4781666,10325,138.97662353515625
1731225208.5619671,10375,141.02392578125
