Wall time,Step,Value
1731225010.0987065,1125,0.4017449915409088
1731225010.614158,1150,0.5334759950637817
1731225012.7000988,1250,0.8795230388641357
1731225013.2235024,1275,1.0087076425552368
1731225014.291601,1325,1.1795467138290405
1731225014.8001633,1350,1.256127119064331
1731225015.3281155,1375,1.3577550649642944
1731225016.4109726,1425,1.5656006336212158
1731225016.9576564,1450,1.7029833793640137
1731225017.480003,1475,1.8116199970245361
1731225018.0055091,1500,1.881650447845459
1731225020.114281,1600,2.543816089630127
1731225024.8637304,1825,4.089354515075684
1731225025.3733075,1850,4.31584358215332
1731225026.4446452,1900,4.7419633865356445
1731225028.0208557,1975,5.458282470703125
1731225028.544545,2000,5.587069988250732
1731225029.6059704,2050,6.283483505249023
1731225030.6629388,2100,6.566064357757568
1731225031.1893108,2125,7.233338356018066
1731225032.2480044,2175,8.279468536376953
1731225033.3548555,2225,8.919681549072266
1731225033.8768263,2250,9.490362167358398
1731225035.4487221,2325,10.464451789855957
1731225035.97059,2350,10.356155395507812
1731225036.5032568,2375,11.413244247436523
1731225037.046922,2400,12.029317855834961
1731225037.5535426,2425,12.790258407592773
1731225039.1424775,2500,13.579399108886719
1731225039.6708593,2525,15.252603530883789
1731225040.7977946,2575,16.262283325195312
1731225041.8588955,2625,17.023006439208984
1731225042.405841,2650,18.417739868164062
1731225042.9400077,2675,18.471694946289062
1731225043.4576926,2700,19.85089111328125
1731225045.0635316,2775,22.286781311035156
1731225045.612644,2800,21.685291290283203
1731225046.1488585,2825,23.697486877441406
1731225046.6900017,2850,24.373455047607422
1731225047.7466164,2900,26.04050064086914
1731225049.320382,2975,29.403274536132812
1731225051.9667604,3100,33.72567367553711
1731225052.4765463,3125,35.95283508300781
1731225053.0295365,3150,36.395286560058594
1731225053.5585175,3175,38.139434814453125
1731225054.0943305,3200,39.2899169921875
1731225054.6337876,3225,41.04640197753906
1731225057.3122125,3350,47.48416519165039
1731225061.5716822,3550,56.5810661315918
1731225063.1486514,3625,60.01416778564453
1731225063.6788175,3650,61.326316833496094
1731225067.4429023,3825,70.10774230957031
1731225069.0298505,3900,75.00408935546875
