Wall time,Step,Value
1731225139.167384,7179,-141.1738739013672
1731225141.0841963,7271,-145.57693481445312
1731225142.4633892,7335,-147.16358947753906
1731225143.488339,7383,-141.6036376953125
1731225143.9804604,7406,-146.55130004882812
1731225145.3609993,7474,-139.7442169189453
1731225145.6015453,7484,-139.0164337158203
1731225145.6570559,7487,-151.3177490234375
1731225146.0041845,7502,-145.82598876953125
1731225146.674021,7535,-148.6975555419922
1731225150.5854099,7717,-140.49154663085938
1731225152.0264394,7784,-144.5624237060547
1731225152.6077778,7812,-145.77052307128906
1731225152.7943692,7822,-145.20010375976562
1731225153.5561948,7857,-143.94544982910156
1731225156.913349,8015,-144.5522918701172
1731225158.5039365,8090,-142.01353454589844
1731225160.9639452,8204,-152.45391845703125
1731225161.7795238,8245,-143.79933166503906
1731225164.2329109,8358,-143.7510223388672
1731225164.8242507,8387,-144.6839141845703
1731225164.9107623,8392,-153.77281188964844
1731225165.1430404,8401,-153.76551818847656
1731225167.052817,8491,-145.37857055664062
1731225167.1074765,8494,-139.11351013183594
1731225167.723311,8522,-137.9047393798828
1731225167.972954,8532,-140.1997833251953
1731225169.9382472,8625,-143.71798706054688
1731225170.6767402,8659,-142.4830780029297
1731225171.963929,8719,-147.3450164794922
1731225174.6466105,8843,-141.7019500732422
1731225175.9850292,8902,-139.11520385742188
1731225176.5471134,8928,-151.37515258789062
1731225176.610624,8931,-147.54849243164062
1731225177.076985,8952,-143.62481689453125
1731225177.2090104,8959,-157.56317138671875
1731225178.4169996,9017,-142.2956085205078
1731225178.5300462,9023,-136.07351684570312
1731225179.767224,9079,-145.2241973876953
1731225184.1288316,9284,-148.5773162841797
1731225185.2923946,9340,-145.7789306640625
1731225185.9755628,9372,-149.64572143554688
1731225187.886019,9459,-139.115966796875
1731225188.6453762,9492,-150.5001983642578
1731225190.5708091,9571,-140.34039306640625
1731225190.806892,9578,-135.5605926513672
1731225191.227947,9591,-144.75413513183594
1731225192.7460828,9651,-145.02906799316406
1731225193.5574694,9681,-152.01300048828125
1731225194.0821474,9704,-144.57920837402344
1731225194.4318078,9722,-144.4655303955078
1731225197.6137803,9867,-144.01878356933594
1731225199.0159802,9931,-137.68943786621094
1731225202.2068036,10082,-140.19497680664062
1731225202.75713,10108,-151.76223754882812
1731225206.9508111,10300,-143.99720764160156
1731225207.0765505,10307,-139.1044158935547
1731225209.464847,10420,-145.31344604492188
1731225209.5153594,10423,-144.96902465820312
1731225209.9555902,10444,-141.69979858398438
1731225211.2246346,10503,-140.59835815429688
1731225212.0905511,10546,-138.23538208007812
1731225213.9565983,10631,-141.4748077392578
1731225214.581619,10662,-152.84552001953125
1731225214.954666,10678,-142.21774291992188
1731225215.2635498,10695,-143.4791259765625
1731225216.1372092,10735,-139.7086639404297
1731225217.1169503,10781,-136.3326416015625
1731225217.1349523,10782,-139.1395263671875
1731225217.602656,10804,-141.97933959960938
1731225218.289355,10839,-141.4574737548828
1731225218.847318,10865,-142.85018920898438
1731225219.0089118,10874,-147.88070678710938
1731225220.1718233,10926,-143.8582000732422
1731225220.2263365,10929,-141.06312561035156
1731225220.9264777,10963,-148.6543426513672
1731225221.0025625,10967,-150.9262237548828
1731225221.504272,10990,-141.78396606445312
1731225221.6117854,10996,-143.80349731445312
1731225221.6497846,10998,-142.53907775878906
1731225222.637401,11044,-147.07920837402344
1731225224.4255645,11126,-144.03848266601562
1731225224.7680547,11145,-139.57766723632812
1731225225.0023854,11154,-143.7890625
1731225226.4206338,11222,-142.7740478515625
1731225226.456633,11224,-141.49301147460938
1731225227.7734616,11284,-144.22569274902344
1731225231.1155543,11443,-146.6631622314453
1731225232.2297003,11496,-137.12881469726562
1731225232.657676,11516,-139.89950561523438
1731225233.317121,11547,-148.84161376953125
1731225233.5506735,11556,-148.42645263671875
1731225233.860208,11573,-137.2710418701172
1731225234.2319324,11590,-142.3932647705078
1731225236.0120976,11672,-144.13162231445312
1731225236.5101852,11695,-146.93597412109375
1731225236.8266985,11709,-139.0845184326172
1731225238.3766797,11783,-135.54251098632812
1731225240.7857583,11897,-137.2536163330078
1731225242.7994375,11993,-145.89402770996094
1731225242.881641,11998,-138.93338012695312
