Wall time,Step,Value
1731225010.0987065,1125,-0.03945709764957428
1731225010.615158,1150,0.017102021723985672
1731225012.7000988,1250,0.31832990050315857
1731225013.224503,1275,0.40522801876068115
1731225014.291601,1325,0.5703331232070923
1731225014.8011634,1350,0.6888589262962341
1731225015.3281155,1375,0.7343491315841675
1731225016.4119742,1425,0.9089294672012329
1731225016.9576564,1450,0.9922746419906616
1731225017.480003,1475,1.0678081512451172
1731225018.0065086,1500,1.1697311401367188
1731225020.114281,1600,1.584618091583252
1731225024.8637304,1825,2.8460075855255127
1731225025.3733075,1850,2.992077350616455
1731225026.4456465,1900,3.2517693042755127
1731225028.0208557,1975,3.8308162689208984
1731225028.544545,2000,3.9409046173095703
1731225029.6059704,2050,4.403393268585205
1731225030.6639376,2100,4.565014839172363
1731225031.1903105,2125,5.199750900268555
1731225032.2490058,2175,5.838979721069336
1731225033.3548555,2225,6.150540351867676
1731225033.8778262,2250,6.626088619232178
1731225035.4497325,2325,7.6115570068359375
1731225035.97059,2350,7.617069244384766
1731225036.504257,2375,8.144403457641602
1731225037.0479228,2400,8.424399375915527
1731225037.5545425,2425,9.140214920043945
1731225039.143478,2500,9.574637413024902
1731225039.6708593,2525,10.40514850616455
1731225040.7982976,2575,11.261877059936523
1731225041.8588955,2625,11.835363388061523
1731225042.405841,2650,12.63595962524414
1731225042.9400077,2675,12.683549880981445
1731225043.4576926,2700,13.797920227050781
1731225045.0635316,2775,15.5487060546875
1731225045.6136446,2800,15.372746467590332
1731225046.1488585,2825,16.442949295043945
1731225046.6900017,2850,16.935794830322266
1731225047.747617,2900,17.993732452392578
1731225049.321383,2975,21.028202056884766
1731225051.9667604,3100,23.73251724243164
1731225052.4775462,3125,25.688961029052734
1731225053.0305367,3150,25.463211059570312
1731225053.5585175,3175,27.098308563232422
1731225054.0953307,3200,28.021041870117188
1731225054.6347864,3225,28.84246253967285
1731225057.3132117,3350,33.96825408935547
1731225061.5716822,3550,42.25366973876953
1731225063.149653,3625,44.794960021972656
1731225063.679818,3650,45.34896469116211
1731225067.4429023,3825,53.481689453125
1731225069.0298505,3900,59.70423889160156
1731225070.0893972,3950,62.907772064208984
1731225070.630625,3975,60.874237060546875
1731225071.1607547,4000,62.463504791259766
1731225073.2942073,4100,70.19844818115234
1731225073.8246975,4125,68.02770233154297
1731225074.3492296,4150,70.13921356201172
1731225075.933986,4225,77.08716583251953
1731225076.4643254,4250,75.50657653808594
1731225078.067303,4325,79.51210021972656
1731225080.2493486,4425,82.51036071777344
1731225081.3142219,4475,91.5640640258789
1731225082.394923,4525,94.28208923339844
1731225082.9450054,4550,89.620361328125
1731225083.4758348,4575,90.37722778320312
1731225084.0089724,4600,89.14622497558594
1731225086.1133633,4700,99.15455627441406
1731225087.187291,4750,95.96129608154297
1731225088.74374,4825,96.8272705078125
1731225089.2720208,4850,96.69014739990234
1731225089.7947876,4875,102.55744171142578
1731225090.8386712,4925,104.68362426757812
1731225091.3764184,4950,100.53677368164062
1731225091.882737,4975,103.99897766113281
1731225093.484855,5050,100.0357666015625
1731225094.5229008,5100,103.23521423339844
1731225095.0772507,5125,102.05236053466797
1731225096.1441786,5175,103.10099792480469
1731225096.6998508,5200,106.314453125
1731225098.2915976,5275,106.16969299316406
1731225100.9616678,5400,105.64109802246094
1731225101.479049,5425,106.0773696899414
1731225101.987978,5450,107.16700744628906
1731225103.0562747,5500,109.90821075439453
1731225103.6065023,5525,108.14875030517578
1731225104.671141,5575,108.04608154296875
1731225105.7503178,5625,111.07356262207031
1731225106.3036058,5650,111.42738342285156
1731225106.86598,5675,107.0510025024414
1731225107.3887837,5700,107.44084167480469
1731225108.4642425,5750,108.28292846679688
1731225108.9977133,5775,107.84162139892578
1731225112.6938066,5950,114.89497375488281
1731225114.8219924,6050,110.40177154541016
1731225116.935202,6150,108.11141967773438
1731225117.4653327,6175,114.05747985839844
1731225117.9886484,6200,111.69921112060547
1731225120.1654475,6300,109.42764282226562
1731225121.8934329,6375,113.23829650878906
1731225123.478593,6450,114.2069091796875
1731225124.0300088,6475,114.6418228149414
1731225125.6124554,6550,113.27558135986328
1731225126.1596973,6575,115.49916076660156
1731225127.2355447,6625,115.38644409179688
1731225127.7669487,6650,115.23910522460938
1731225128.3053415,6675,114.59447479248047
1731225129.3968287,6725,112.07156372070312
1731225129.9335387,6750,117.565185546875
1731225130.4464607,6775,116.33892822265625
1731225130.9792993,6800,115.3911361694336
1731225131.5081193,6825,114.53241729736328
1731225132.0364692,6850,115.51344299316406
1731225133.6266117,6925,115.747314453125
1731225135.3828945,7000,115.07826232910156
1731225137.4645057,7100,117.09789276123047
1731225137.9944448,7125,115.38015747070312
1731225139.072867,7175,116.66966247558594
1731225140.1665862,7225,116.38096618652344
1731225140.7026873,7250,116.27458190917969
1731225143.3323185,7375,115.38229370117188
1731225144.88828,7450,119.2748031616211
1731225145.4319973,7475,117.5749282836914
1731225145.9585907,7500,119.36956787109375
1731225146.4869897,7525,119.37825012207031
1731225147.5722828,7575,121.62068176269531
1731225149.6975155,7675,120.4753646850586
1731225150.7864227,7725,118.9491958618164
1731225151.8481977,7775,121.73914337158203
1731225152.9028878,7825,120.04931640625
1731225155.5615184,7950,118.37353515625
1731225156.6315455,8000,120.96893310546875
1731225158.7435112,8100,121.85903930664062
1731225161.4033833,8225,120.89081573486328
1731225162.4509926,8275,122.66360473632812
1731225162.986015,8300,120.12449645996094
1731225164.6022203,8375,117.27960205078125
1731225165.640353,8425,120.8994369506836
1731225166.213808,8450,121.95004272460938
1731225166.7506785,8475,123.35169982910156
1731225167.8383355,8525,122.3823471069336
1731225168.3580713,8550,121.27784729003906
1731225168.9004586,8575,121.80305480957031
1731225171.0239408,8675,122.70185852050781
1731225171.5641894,8700,122.72892761230469
1731225172.697952,8750,123.53546142578125
1731225174.3077533,8825,122.29413604736328
1731225176.4755416,8925,124.07760620117188
1731225177.0334713,8950,123.48973846435547
1731225177.5583653,8975,123.87271118164062
1731225178.0916286,9000,125.96694946289062
1731225179.1392694,9050,125.39683532714844
1731225180.747995,9125,123.92716217041016
1731225181.2789602,9150,123.9605712890625
1731225181.8139272,9175,125.02700805664062
1731225183.423249,9250,124.54885864257812
1731225183.958529,9275,124.69862365722656
1731225185.0132089,9325,122.25271606445312
1731225188.2799156,9475,124.51295471191406
1731225189.4647937,9525,125.54373168945312
1731225191.4807224,9600,127.58818817138672
1731225192.0726135,9625,124.14202880859375
1731225193.4043941,9675,124.73417663574219
1731225193.9971437,9700,124.65640258789062
1731225196.7374015,9825,125.0701904296875
1731225197.2855418,9850,126.72462463378906
1731225198.3758433,9900,126.49713897705078
1731225199.4328022,9950,125.01992797851562
1731225199.9720523,9975,126.61946105957031
1731225200.5047197,10000,124.65399932861328
1731225202.071776,10075,126.43722534179688
1731225202.6029432,10100,126.32156372070312
1731225204.3190875,10175,124.22624206542969
1731225204.8409958,10200,127.08504486083984
1731225205.8954606,10250,126.10209655761719
1731225206.4194396,10275,125.58966064453125
1731225207.4751594,10325,127.40686798095703
1731225208.5589662,10375,128.8448486328125
1731225209.610876,10425,127.93946075439453
1731225210.115296,10450,125.4417724609375
1731225210.6264908,10475,127.54195404052734
1731225211.6891527,10525,127.77375793457031
1731225212.2255647,10550,126.78633880615234
1731225213.8430872,10625,127.36028289794922
1731225214.358592,10650,127.7962646484375
1731225214.8883007,10675,128.11117553710938
1731225215.4060004,10700,127.92947387695312
1731225216.4824069,10750,125.5153579711914
1731225217.005926,10775,127.59443664550781
1731225217.5171402,10800,128.2238311767578
1731225218.0367475,10825,126.6790771484375
1731225222.8005364,11050,125.45828247070312
1731225223.3377748,11075,127.01512145996094
1731225224.3984888,11125,125.79462432861328
1731225225.9855092,11200,129.76219177246094
1731225229.7557526,11375,126.02153015136719
1731225230.276017,11400,129.13137817382812
1731225232.3563507,11500,127.60995483398438
1731225232.904295,11525,126.81776428222656
1731225233.4341521,11550,126.47801208496094
1731225234.5241988,11600,129.99789428710938
1731225235.5978456,11650,127.3030014038086
1731225237.7037416,11750,128.06716918945312
1731225242.479901,11975,128.25149536132812
1731225242.9807355,12000,129.49899291992188
1731225243.517159,12025,126.56044006347656
1731225244.0599325,12050,128.77273559570312
1731225245.1532838,12100,128.1663055419922
1731225245.6751904,12125,126.79843139648438
1731225247.2267516,12200,126.43266296386719
1731225248.8478212,12275,127.01370239257812
1731225252.5324383,12450,127.51113891601562
1731225253.0543268,12475,128.19671630859375
1731225253.5849047,12500,130.40646362304688
1731225254.0990539,12525,127.86681365966797
1731225255.1745393,12575,126.98202514648438
1731225255.7071922,12600,128.459716796875
1731225256.2272725,12625,127.65031433105469
1731225257.310901,12675,128.3779754638672
1731225257.8381314,12700,129.50518798828125
1731225258.3948576,12725,127.72686004638672
1731225259.4612195,12775,129.4556884765625
1731225260.5348246,12825,126.9769287109375
1731225261.0887794,12850,127.58200073242188
1731225263.2064426,12950,129.49508666992188
1731225266.9196038,13125,128.44659423828125
1731225268.494216,13200,127.22513580322266
1731225269.047848,13225,126.16490936279297
1731225270.121081,13275,129.01446533203125
1731225271.214563,13325,129.13973999023438
1731225272.801883,13400,126.90080261230469
1731225278.6179583,13675,127.78959655761719
1731225280.182078,13750,125.86550903320312
1731225280.7078362,13775,125.95172119140625
1731225281.233831,13800,128.2826385498047
1731225282.3069537,13850,125.65928649902344
1731225283.3600044,13900,128.8150634765625
1731225283.8931525,13925,127.45726013183594
1731225284.9365094,13975,127.31166076660156
1731225287.7262504,14100,127.59188842773438
1731225288.2541118,14125,128.07733154296875
1731225291.4255638,14275,128.5789794921875
1731225292.5097702,14325,128.83407592773438
1731225293.0401204,14350,128.5523681640625
1731225293.5604236,14375,128.5327606201172
1731225294.0925393,14400,130.30226135253906
1731225294.6189163,14425,128.73593139648438
1731225295.1505764,14450,128.3010711669922
1731225295.671713,14475,129.8712921142578
1731225296.2117896,14500,127.26950073242188
1731225296.7339633,14525,128.74237060546875
1731225297.2658052,14550,127.42304992675781
1731225298.336918,14600,128.12164306640625
1731225299.9145908,14675,127.2446060180664
1731225300.454352,14700,127.21760559082031
1731225300.9902477,14725,127.59555053710938
1731225302.0519235,14775,130.01861572265625
1731225304.2082527,14875,126.59381866455078
1731225305.2579217,14925,128.32147216796875
1731225306.2844849,14975,127.45707702636719
1731225308.4163969,15075,128.95855712890625
1731225308.9479394,15100,128.56045532226562
1731225309.5015185,15125,126.66661834716797
1731225310.5465305,15175,127.78205108642578
1731225311.5996435,15225,128.91763305664062
1731225312.6310368,15275,127.59796142578125
1731225313.7408166,15325,127.1766586303711
1731225314.2726593,15350,128.15960693359375
1731225315.834927,15425,127.67498779296875
1731225316.9281201,15475,127.44342041015625
1731225317.4671903,15500,128.52642822265625
1731225317.9917154,15525,129.57980346679688
1731225318.5562382,15550,128.29205322265625
1731225319.084805,15575,127.68965911865234
1731225319.610586,15600,127.18211364746094
1731225320.6682854,15650,129.2567901611328
1731225321.2139602,15675,128.41998291015625
1731225323.8903263,15800,127.55699157714844
1731225324.4156358,15825,128.27764892578125
1731225325.4513896,15875,127.91866302490234
1731225325.9709222,15900,129.43746948242188
1731225326.5016954,15925,128.68115234375
1731225328.068664,16000,128.2782745361328
1731225329.15384,16050,126.80091094970703
1731225330.1979594,16100,130.068359375
1731225331.232636,16150,126.2683334350586
1731225332.2984703,16200,128.80201721191406
1731225333.3515277,16250,127.00053405761719
1731225333.8687308,16275,126.68158721923828
1731225334.412027,16300,127.45199584960938
1731225335.9768865,16375,126.40309143066406
1731225338.116261,16475,129.16146850585938
1731225338.6510966,16500,127.7842025756836
1731225339.762036,16550,127.98507690429688
1731225340.2788153,16575,126.69190979003906
1731225341.347033,16625,126.54080963134766
1731225343.4652576,16725,128.61459350585938
1731225346.1745698,16850,129.240234375
1731225349.9513426,17025,127.50228118896484
1731225350.4936376,17050,129.01181030273438
1731225351.5452304,17100,128.47604370117188
1731225352.078557,17125,127.66761016845703
1731225352.6061904,17150,128.45352172851562
1731225353.1296144,17175,128.58352661132812
1731225353.673922,17200,128.10345458984375
1731225354.2075195,17225,128.31187438964844
1731225355.2631598,17275,126.77877807617188
1731225355.8018627,17300,126.97300720214844
1731225357.9097939,17400,127.2474136352539
1731225358.4269512,17425,128.48831176757812
1731225359.4568367,17475,127.3070068359375
1731225360.5370717,17525,128.81521606445312
1731225362.1934035,17600,127.33345031738281
1731225363.2383227,17650,129.62127685546875
1731225363.7526155,17675,127.36813354492188
1731225364.2708833,17700,128.3783721923828
1731225365.911547,17775,126.64790344238281
1731225366.435773,17800,127.97109985351562
1731225366.9761178,17825,130.9321746826172
1731225367.4897869,17850,128.88519287109375
1731225368.015588,17875,130.66217041015625
1731225369.0505855,17925,127.49179077148438
1731225369.5899765,17950,126.47703552246094
1731225370.1126068,17975,126.03288269042969
1731225371.1890728,18025,127.54371643066406
1731225371.7348013,18050,126.78218078613281
1731225372.2782235,18075,128.6427459716797
1731225372.796608,18100,128.40145874023438
1731225373.3308897,18125,127.80565643310547
1731225373.8779068,18150,125.85685729980469
1731225374.9198167,18200,126.79679870605469
1731225375.4391553,18225,127.88969421386719
1731225377.084028,18300,128.53880310058594
1731225379.2020428,18400,127.96943664550781
1731225380.783573,18475,127.7750244140625
1731225381.3059413,18500,126.48554992675781
1731225381.8695986,18525,129.35699462890625
1731225382.9244435,18575,126.63094329833984
1731225383.4684303,18600,127.1383056640625
1731225383.9842496,18625,127.14678955078125
1731225384.4978652,18650,127.40458679199219
1731225385.7246685,18700,125.210205078125
1731225386.2689092,18725,127.83724975585938
1731225386.8079414,18750,127.63471984863281
1731225388.9164283,18850,126.94110870361328
1731225391.058085,18950,127.03422546386719
1731225391.5832508,18975,128.97988891601562
1731225392.6508603,19025,129.0565948486328
1731225393.1779985,19050,128.56707763671875
1731225393.7234697,19075,128.92568969726562
1731225394.2558389,19100,130.040771484375
1731225394.7794971,19125,128.00784301757812
1731225395.310142,19150,128.54769897460938
1731225396.9123178,19225,127.52796936035156
1731225397.470572,19250,127.21430969238281
1731225398.0156772,19275,129.0691375732422
1731225400.706955,19400,126.24966430664062
1731225401.7730954,19450,128.07615661621094
1731225402.3122098,19475,126.96621704101562
1731225402.884114,19500,126.88227844238281
1731225403.4210575,19525,127.98268127441406
1731225404.4923089,19575,128.10549926757812
1731225406.1129851,19650,127.45667266845703
1731225406.6458106,19675,126.09030151367188
1731225408.2807496,19750,128.3440704345703
1731225408.8259554,19775,127.94328308105469
1731225409.3512821,19800,129.1591339111328
1731225410.4136088,19850,128.0854949951172
1731225411.4845347,19900,126.88594055175781
1731225413.0855052,19975,128.41079711914062
