Wall time,Step,Value,Smoothed_Value
1736434118.726738,0,1.031915307044983,1.031915307044983
1736434118.935765,1,1.0132427215576172,1.0225790143013
1736434119.1465874,2,0.9514591693878174,0.9988723993301392
1736434119.3576212,3,1.0181630849838257,1.0036950707435608
1736434119.621719,4,1.024990797042847,1.007954216003418
1736434119.8317802,5,0.948896825313568,0.991350519657135
1736434120.0592954,6,1.022973656654358,0.9932967066764832
1736434120.272174,7,0.9621386528015136,0.9954326033592225
1736434120.4722028,8,1.0269455909729004,0.9971891045570374
1736434120.6702304,9,1.0704796314239502,1.006286871433258
1736434120.881973,10,0.8926559686660767,0.9950387001037597
1736434121.0849931,11,0.9889881014823914,0.9882415890693664
1736434121.2810762,12,1.0478476285934448,1.0053833842277526
1736434121.4675944,13,0.9227175116539,0.9845377683639527
1736434121.671243,14,1.0191885232925415,0.9742795467376709
1736434121.8833046,15,0.977602481842041,0.9912688493728637
1736434122.0977304,16,1.1101117134094238,1.0154935717582703
1736434122.3157556,17,0.997609555721283,1.005445957183838
1736434122.531492,18,1.0242152214050293,1.0257454991340638
1736434122.7225256,19,0.9580877423286438,1.0135253429412843
1736434122.912559,20,1.0261870622634888,1.0232422590255736
1736434123.1265829,21,1.005306363105774,1.0022811889648438
1736434123.351609,22,0.9686070680618286,0.9964806914329529
1736434123.5576448,23,0.9442393183708192,0.9804855108261108
1736434123.7393465,24,1.0011578798294067,0.9890995383262634
1736434123.937365,25,1.0319362878799438,0.9902493834495545
1736434124.1758935,26,0.994169533252716,0.9880220174789429
1736434124.3977046,27,0.9379767179489136,0.9818959474563599
1736434124.628267,28,1.096960425376892,1.0124401688575744
1736434124.8378894,29,1.0237276554107666,1.0169541239738464
1736434125.0639398,30,0.9723668694496156,1.0050402402877807
1736434125.286467,31,1.0302585363388062,1.0122580409049988
1736434125.496688,32,1.034309983253479,1.031524693965912
1736434125.7097096,33,1.0964447259902954,1.0314215540885925
1736434125.8866963,34,0.9640310406684875,1.0194822311401368
1736434126.0712657,35,0.9676119089126588,1.0185312390327455
1736434126.280866,36,0.9059237837791444,0.993664288520813
1736434126.497803,37,1.0048811435699463,0.9877785205841064
1736434126.7108274,38,1.0510010719299316,0.9786897897720337
1736434126.918854,39,0.8866999745368958,0.9632235765457153
1736434127.119171,40,0.9877550601959229,0.9672522068023681
1736434127.3196964,41,0.9807645678520204,0.9822203636169433
1736434127.5287118,42,1.0321983098983765,0.9876837968826294
1736434127.7072537,43,1.0447486639022827,0.9864333152770997
1736434127.9202845,44,1.0772526264190674,1.0245438456535338
1736434128.1163137,45,0.9805331230163574,1.023099458217621
1736434128.3244188,46,0.9871983528137208,1.0243862152099612
1736434128.508451,47,1.038052320480347,1.025557017326355
1736434128.7014518,48,0.9771257638931274,1.012032437324524
1736434128.913536,49,0.90782231092453,0.9781463742256165
1736434129.14356,50,1.031191349029541,0.9882780194282532
1736434129.3816793,51,0.947669267654419,0.9803722023963928
1736434129.6007009,52,0.9490365982055664,0.9625690579414368
1736434129.786735,53,0.9770168662071228,0.9625472784042358
1736434129.9723425,54,1.021270513534546,0.985236918926239
1736434130.1733668,55,1.0446979999542236,0.9879382491111756
1736434130.378155,56,1.0418068170547483,1.0067657589912415
1736434130.6303563,57,1.029904842376709,1.0229394078254699
1736434130.832391,58,1.0450738668441772,1.036550807952881
1736434131.0795789,59,0.9609479308128356,1.0244862914085389
1736434131.3087547,60,0.9058228135108948,0.996711254119873
1736434131.602959,61,1.0270382165908811,0.9937575340270997
1736434131.8757317,62,0.9289591312408448,0.9735683917999267
1736434132.0932758,63,0.9273308515548706,0.9500197887420654
1736434132.316318,64,1.0571051836013794,0.9692512392997742
1736434132.5278623,65,0.9821776151657104,0.9845221996307373
1736434132.718403,66,0.9466920495033264,0.9684529662132263
1736434132.9057028,67,1.0209357738494873,0.9868482947349548
1736434133.1160412,68,1.10330069065094,1.0220422625541687
1736434133.3116848,69,1.0758885145187378,1.0257989287376403
1736434133.5127034,70,1.000317931175232,1.0294269919395447
1736434133.7082624,71,0.97540545463562,1.0351696729660034
1736434133.9152813,72,1.0345253944396973,1.0378875970840453
1736434134.1212995,73,1.0116167068481443,1.0195508003234863
1736434134.3243237,74,1.12843120098114,1.0300593376159668
1736434134.54,75,1.0215802192687988,1.03431179523468
1736434134.7400138,76,1.0244168043136597,1.044114065170288
1736434134.9371264,77,1.0102736949920654,1.0392637252807617
1736434135.1351457,78,0.9876898527145386,1.0344783544540406
1736434135.3421686,79,1.0315746068954468,1.0151070356369019
1736434135.5502012,80,1.0750651359558103,1.025804018974304
1736434135.7402198,81,0.9074251055717468,1.0024056792259217
1736434135.9404287,82,1.0721248388290403,1.0147759079933167
1736434136.1394546,83,1.0156370401382446,1.020365345478058
1736434136.3543155,84,1.0364924669265747,1.0213489174842834
1736434136.5493488,85,0.9582834243774414,0.9979925751686096
1736434136.7473805,86,0.940904140472412,1.0046883821487427
1736434136.9378583,87,0.989835798740387,0.988230574131012
1736434137.1359322,88,1.002277374267578,0.9855586409568786
1736434137.3259633,89,0.9845339059829712,0.9751669287681579
1736434137.5285587,90,1.0070204734802246,0.9849143385887146
1736434137.730184,91,0.9482902884483336,0.9863915681838987
1736434138.003832,92,1.0904461145401,1.0065136313438416
1736434138.2166643,93,1.058081865310669,1.0176745295524596
1736434138.4126968,94,0.9836509227752686,1.0174979329109193
1736434138.61073,95,1.0010288953781128,1.0162996172904968
